"('Aircraft', 'Combat Aircraft(580)')","('Origin', 'Combat Aircraft(580)')","('Type', 'Combat Aircraft(580)')","('Variant', 'Combat Aircraft(580)')","('In service', 'Combat Aircraft(580)')","('Notes', 'Combat Aircraft(580)')",Aircraft,Photo,Origin,Role,Version,Number,Notes,Comment,"('Aircraft', 'Combat Aircraft')","('Origin', 'Combat Aircraft')","('Type', 'Combat Aircraft')","('Variant', 'Combat Aircraft')","('In service', 'Combat Aircraft')","('Notes', 'Combat Aircraft')","('Aircraft', 'Maritime patrol')","('Origin', 'Maritime patrol')","('Type', 'Maritime patrol')","('Variant', 'Maritime patrol')","('In service', 'Maritime patrol')","('Notes', 'Maritime patrol')"
Dassault Rafale,France,Multirole,DH,8[1],,,,,,,,,,,,,,,,,,,,,
Dassault Rafale,France,Multirole,EH,28[1],,,,,,,,,,,,,,,,,,,,,
HAL Tejas,India,Multirole,Mk.1,31[2][3],,,,,,,,,,,,,,,,,,,,,
HAL Tejas,India,Conversion trainer,Mk.1 Trainer,4[4][5],Used for training; 14 more on order[6],,,,,,,,,,,,,,,,,,,,
HAL Tejas,India,Multirole,Mk.1A,,"73 on order, 97 more approved[6][7]",,,,,,,,,,,,,,,,,,,,
Sukhoi Su-30MKI,Russia,Multirole,Su-30MKI Flanker H,259[8][9],12 more on order.[10],,,,,,,,,,,,,,,,,,,,
Mikoyan MiG-29,Soviet Union,Multirole,Fulcrum,52[1][11][12],Including 12 MiG-29UPG.,,,,,,,,,,,,,,,,,,,,
Mikoyan MiG-29,Soviet Union,Multirole,Fulcrum B,7[1],,,,,,,,,,,,,,,,,,,,,
Dassault Mirage 2000,France,Multirole,-2000H,36[1],1 lost in 2025[13],,,,,,,,,,,,,,,,,,,,
Dassault Mirage 2000,France,Multirole,-2000TH,10[1],Used for training.,,,,,,,,,,,,,,,,,,,,
SEPECAT Jaguar,United Kingdom,Attack,IB,27[1][14],Used for training.,,,,,,,,,,,,,,,,,,,,
SEPECAT Jaguar,United Kingdom,Attack,IS,78[1][15],,,,,,,,,,,,,,,,,,,,,
SEPECAT Jaguar,United Kingdom,Attack,IM,8[1],Maritime strike aircraft carrying Sea Eagle missile.,,,,,,,,,,,,,,,,,,,,
Mikoyan-Gurevich MiG-21,Soviet Union,Interceptor,MiG-21 Bison,40[16],Being phased out.[17],,,,,,,,,,,,,,,,,,,,
AEW&CS(6),AEW&CS(6),AEW&CS(6),AEW&CS(6),AEW&CS(6),AEW&CS(6),,,,,,,,,,,,,,,,,,,,
Embraer R-99,Brazil,AEW&C,Netra Mk1,3[18],equipped with a Netra AEW&CS.,,,,,,,,,,,,,,,,,,,,
Beriev A-50,Soviet Union,AEW&C,A-50EI,3[18],equipped with the EL/W-2090 radar. 2 more planned.[19][20],,,,,,,,,,,,,,,,,,,,
Reconnaissance(10),Reconnaissance(10),Reconnaissance(10),Reconnaissance(10),Reconnaissance(10),Reconnaissance(10),,,,,,,,,,,,,,,,,,,,
Boeing 707,United States,SIGINT / ELINT,707-337C Phalcon,1[18],Operated by Aviation Research Centre (ARC) of R&AW.[21][22],,,,,,,,,,,,,,,,,,,,
Global 5000,United States,SIGINT / ELINT,,2[18],Operated by Aviation Research Centre (ARC) of R&AW.[21][22],,,,,,,,,,,,,,,,,,,,
Gulfstream III,United States,ELINT,SRA[23],3[18],Operated by Aviation Research Centre (ARC) of R&AW.[21][22],,,,,,,,,,,,,,,,,,,,
Boeing 737,United States,SIGINT / ELINT,737-700,2[18],Operated by Aviation Research Centre (ARC) of R&AW.[21][22],,,,,,,,,,,,,,,,,,,,
Gulfstream G100,Israel,surveillance,1125 Astra,2[18],Operated by Aviation Research Centre (ARC) of R&AW.[21][22],,,,,,,,,,,,,,,,,,,,
Tanker(6),Tanker(6),Tanker(6),Tanker(6),Tanker(6),Tanker(6),,,,,,,,,,,,,,,,,,,,
Ilyushin Il-78,Soviet Union,aerial refuelling,Il-78MKI,6[18],,,,,,,,,,,,,,,,,,,,,
Boeing KC-135 Stratotanker,United States,aerial refuelling,,,One to be wet leased from Metrea for training pilots of IAF an the Indian Navy.[24],,,,,,,,,,,,,,,,,,,,
Transport(276),Transport(276),Transport(276),Transport(276),Transport(276),Transport(276),,,,,,,,,,,,,,,,,,,,
Boeing 777,United States,VIP transport,777-300ER,2[25],Used as Air India One for presidential flight,,,,,,,,,,,,,,,,,,,,
Embraer Legacy 600,Brazil,VIP transport,,4[26],,,,,,,,,,,,,,,,,,,,,
Boeing C-17,United States,strategic airlifter,,11[18],,,,,,,,,,,,,,,,,,,,,
Ilyushin Il-76,Soviet Union,strategic airlifter,Il-76MD,17[18],,,,,,,,,,,,,,,,,,,,,
C-130J Super Hercules,United States,tactical airlifter,C-130J-30[27],12[18],,,,,,,,,,,,,,,,,,,,,
Airbus A321,Europe,transport,A321-200,4[18],,,,,,,,,,,,,,,,,,,,,
Antonov An-32,Soviet Union,tactical airlifter,,102[18],53 are the 32RE variant.[28] 1 lost in 2025[29],,,,,,,,,,,,,,,,,,,,
Airbus C-295,Spain,tactical airlifter,C-295W,7[30][31],50 more on order — HS 748 replacement[32],,,,,,,,,,,,,,,,,,,,
Hawker Siddeley HS 748,United Kingdom,tactical airlifter,,56[18],To be replaced by EADS CASA C-295,,,,,,,,,,,,,,,,,,,,
Dornier 228,Germany,tactical airlifter,228-201,61[18],license built by HAL[33],,,,,,,,,,,,,,,,,,,,
Helicopters,Helicopters,Helicopters,Helicopters,Helicopters,Helicopters,,,,,,,,,,,,,,,,,,,,
HAL Prachand,India,attack,,10[34],66 on order[24],,,,,,,,,,,,,,,,,,,,
Boeing AH-64,United States,attack,AH-64E,22[18],,,,,,,,,,,,,,,,,,,,,
Mil Mi-24,Russia,attack,Mi-25/35,15[18],,,,,,,,,,,,,,,,,,,,,
HAL Rudra,India,attack,,16,50 on order.[35],,,,,,,,,,,,,,,,,,,,
CH-47 Chinook,United States,transport,CH-47F,15[18],,,,,,,,,,,,,,,,,,,,,
Mil Mi-17,Russia,utility,Mi-17V-5,222[18],,,,,,,,,,,,,,,,,,,,,
HAL Dhruv,India,utility,,95[18],,,,,,,,,,,,,,,,,,,,,
HAL Light Utility Helicopter,India,utility,,,6 on order[36],,,,,,,,,,,,,,,,,,,,
Alouette III,France/India,liaison,Chetak,79[18],license-built by HAL. A fleet of around 120 aircraft.[37],,,,,,,,,,,,,,,,,,,,
Alouette III,France/India,liaison,Cheetal,18[38],license-built by HAL. A fleet of around 120 aircraft.[37],,,,,,,,,,,,,,,,,,,,
SA 315B Lama,France/India,utility,Cheetah,18[18],license-built by HAL. A fleet of around 120 aircraft.[37],,,,,,,,,,,,,,,,,,,,
Trainer Aircraft,Trainer Aircraft,Trainer Aircraft,Trainer Aircraft,Trainer Aircraft,Trainer Aircraft,,,,,,,,,,,,,,,,,,,,
BAE Hawk,United Kingdom,Advanced trainer,Hawk 132,102[18],,,,,,,,,,,,,,,,,,,,,
HAL Kiran,India,Intermediate trainer,,77[18],,,,,,,,,,,,,,,,,,,,,
HAL HTT-40,India,Basic trainer,,,70 + 36 on order [18],,,,,,,,,,,,,,,,,,,,
Pilatus PC-7,Switzerland,Basic trainer,Mk II,74[18],,,,,,,,,,,,,,,,,,,,,
Pipistrel Virus,Slovenia,Ab initio trainer,,72[39][40],,,,,,,,,,,,,,,,,,,,,
UAV,UAV,UAV,UAV,UAV,UAV,,,,,,,,,,,,,,,,,,,,
IAI Heron,Israel,Surveillance,Mk 1,,,,,,,,,,,,,,,,,,,,,,
IAI Heron,Israel,Surveillance,Mk 2,4,[41][42] 2 on order[43],,,,,,,,,,,,,,,,,,,,
IAI Searcher,Israel,Surveillance,Mk 1/2,,[44],,,,,,,,,,,,,,,,,,,,
MQ-9 Reaper,United States,Surveillance/ Combat,SkyGuardian,0,8 on order[45],,,,,,,,,,,,,,,,,,,,
ALS-50,India,loitering munition,,100[46],,,,,,,,,,,,,,,,,,,,,
Kadet Loitering Aerial Munition,India,loitering munition,,50+ on order,Developed by DRDO and KDS Multiple variants; Weight - 15 to 120 kg; Warhead - 2 to 40 kg; Max. Endurance - 12 hrs; Max. Range - 150 to 300 km; Canister launched and vertical take-off and landing (VTOL) variants[47][48],,,,,,,,,,,,,,,,,,,,
,,,,,,HAL Prachand,,India,Attack helicopter,,5[49],Status: In Service. 90 on order.[24],,,,,,,,,,,,,
,,,,,,Boeing AH-64 Apache,,United States,Attack helicopter,AH-64E,,Status: On Order. 6 are on order.[50] Total 17 Apaches are planned.[51],,,,,,,,,,,,,
,,,,,,HAL Rudra,,India,Attack helicopter,ALH-WSI,75[52][53],Status: In service.,,,,,,,,,,,,,
,,,,,,HAL Dhruv,,India,Utility helicopter,MK.l/MK.ll/MK.ll,70[53],Status: In service. 50 on order[53][54][55],,,,,,,,,,,,,
,,,,,,HAL Light Utility Helicopter,,India,Utility helicopter,,,Status: On Order.  6 are on order.[56] Total 110 LUH are planned.[57],,,,,,,,,,,,,
,,,,,,HAL Chetak,,India  France,Utility helicopter,,Collectively 190[58]–200[59][60],Status: In service (To be replaced by HAL Light Utility Helicopter).,,,,,,,,,,,,,
